date,nwone_ticker,close,volume,contractSize,expiry,tcost,value1pt
2000-01-04,CL/H2000/CME/1d,24.84,27108.0,1000.0,2000-02-22,0.01,1000.0
2000-01-05,CL/H2000/CME/1d,24.27,31362.0,1000.0,2000-02-22,0.01,1000.0
2000-01-06,CL/H2000/CME/1d,24.2,44746.0,1000.0,2000-02-22,0.01,1000.0
2000-01-07,CL/H2000/CME/1d,23.76,50496.0,1000.0,2000-02-22,0.01,1000.0
2000-01-10,CL/H2000/CME/1d,24.13,8071.0,1000.0,2000-02-22,0.01,1000.0
2000-01-11,CL/H2000/CME/1d,25.11,58665.0,1000.0,2000-02-22,0.01,1000.0
2000-01-12,CL/H2000/CME/1d,25.66,70634.0,1000.0,2000-02-22,0.01,1000.0
2000-01-13,CL/H2000/CME/1d,25.92,76129.0,1000.0,2000-02-22,0.01,1000.0
2000-01-14,CL/H2000/CME/1d,27.14,50562.0,1000.0,2000-02-22,0.01,1000.0
2000-01-18,CL/J2000/CME/1d,26.95,20298.0,1000.0,2000-03-21,0.01,1000.0
2000-01-19,CL/J2000/CME/1d,26.92,27783.0,1000.0,2000-03-21,0.01,1000.0
2000-01-20,CL/J2000/CME/1d,26.98,27559.0,1000.0,2000-03-21,0.01,1000.0
2000-01-21,CL/J2000/CME/1d,27.19,33665.0,1000.0,2000-03-21,0.01,1000.0
2000-01-24,CL/J2000/CME/1d,26.91,24612.0,1000.0,2000-03-21,0.01,1000.0
2000-01-25,CL/J2000/CME/1d,27.31,21733.0,1000.0,2000-03-21,0.01,1000.0
2000-01-26,CL/J2000/CME/1d,26.86,25448.0,1000.0,2000-03-21,0.01,1000.0
2000-01-27,CL/J2000/CME/1d,26.35,37179.0,1000.0,2000-03-21,0.01,1000.0
2000-01-28,CL/J2000/CME/1d,26.3,27058.0,1000.0,2000-03-21,0.01,1000.0
2000-01-31,CL/J2000/CME/1d,26.72,30986.0,1000.0,2000-03-21,0.01,1000.0
2000-02-01,CL/J2000/CME/1d,27.26,33388.0,1000.0,2000-03-21,0.01,1000.0
2000-02-02,CL/J2000/CME/1d,26.67,50618.0,1000.0,2000-03-21,0.01,1000.0
2000-02-03,CL/J2000/CME/1d,27.13,38659.0,1000.0,2000-03-21,0.01,1000.0
2000-02-04,CL/J2000/CME/1d,27.82,27438.0,1000.0,2000-03-21,0.01,1000.0
2000-02-07,CL/J2000/CME/1d,27.48,39523.0,1000.0,2000-03-21,0.01,1000.0
2000-02-08,CL/J2000/CME/1d,27.08,40030.0,1000.0,2000-03-21,0.01,1000.0
2000-02-09,CL/J2000/CME/1d,27.75,53241.0,1000.0,2000-03-21,0.01,1000.0
2000-02-10,CL/J2000/CME/1d,28.27,59660.0,1000.0,2000-03-21,0.01,1000.0
2000-02-11,CL/J2000/CME/1d,28.4,58664.0,1000.0,2000-03-21,0.01,1000.0
2000-02-14,CL/J2000/CME/1d,29.26,58658.0,1000.0,2000-03-21,0.01,1000.0
2000-02-15,CL/J2000/CME/1d,29.19,68463.0,1000.0,2000-03-21,0.01,1000.0
2000-02-16,CL/J2000/CME/1d,29.33,84822.0,1000.0,2000-03-21,0.01,1000.0
2000-02-17,CL/J2000/CME/1d,28.55,68540.0,1000.0,2000-03-21,0.01,1000.0
2000-02-18,CL/K2000/CME/1d,27.48,11904.0,1000.0,2000-04-19,0.01,1000.0
2000-02-22,CL/K2000/CME/1d,27.83,19885.0,1000.0,2000-04-19,0.01,1000.0
2000-02-23,CL/K2000/CME/1d,28.02,25561.0,1000.0,2000-04-19,0.01,1000.0
2000-02-24,CL/K2000/CME/1d,28.26,34021.0,1000.0,2000-04-19,0.01,1000.0
2000-02-25,CL/K2000/CME/1d,28.61,31962.0,1000.0,2000-04-19,0.01,1000.0
2000-02-28,CL/K2000/CME/1d,28.45,30191.0,1000.0,2000-04-19,0.01,1000.0
2000-02-29,CL/K2000/CME/1d,28.85,33710.0,1000.0,2000-04-19,0.01,1000.0
2000-03-01,CL/K2000/CME/1d,30.01,45028.0,1000.0,2000-04-19,0.01,1000.0
2000-03-02,CL/K2000/CME/1d,30.08,41449.0,1000.0,2000-04-19,0.01,1000.0
2000-03-03,CL/K2000/CME/1d,30.02,34662.0,1000.0,2000-04-19,0.01,1000.0
2000-03-06,CL/K2000/CME/1d,30.56,33565.0,1000.0,2000-04-19,0.01,1000.0
2000-03-07,CL/K2000/CME/1d,32.39,55030.0,1000.0,2000-04-19,0.01,1000.0
2000-03-08,CL/K2000/CME/1d,29.47,68733.0,1000.0,2000-04-19,0.01,1000.0
2000-03-09,CL/K2000/CME/1d,29.96,61734.0,1000.0,2000-04-19,0.01,1000.0
2000-03-10,CL/K2000/CME/1d,29.84,42553.0,1000.0,2000-04-19,0.01,1000.0
2000-03-13,CL/K2000/CME/1d,30.0,39102.0,1000.0,2000-04-19,0.01,1000.0
2000-03-14,CL/K2000/CME/1d,29.72,52225.0,1000.0,2000-04-19,0.01,1000.0
2000-03-15,CL/K2000/CME/1d,29.03,59471.0,1000.0,2000-04-19,0.01,1000.0
2000-03-16,CL/K2000/CME/1d,29.28,64271.0,1000.0,2000-04-19,0.01,1000.0
2000-03-17,CL/M2000/CME/1d,27.83,22200.0,1000.0,2000-05-22,0.01,1000.0
2000-03-20,CL/M2000/CME/1d,26.7,18954.0,1000.0,2000-05-22,0.01,1000.0
2000-03-21,CL/M2000/CME/1d,27.06,25897.0,1000.0,2000-05-22,0.01,1000.0
2000-03-22,CL/M2000/CME/1d,26.76,26998.0,1000.0,2000-05-22,0.01,1000.0
2000-03-23,CL/M2000/CME/1d,26.7,24442.0,1000.0,2000-05-22,0.01,1000.0
2000-03-24,CL/M2000/CME/1d,27.28,26581.0,1000.0,2000-05-22,0.01,1000.0
2000-03-27,CL/M2000/CME/1d,27.0,19050.0,1000.0,2000-05-22,0.01,1000.0
2000-03-28,CL/M2000/CME/1d,26.35,26209.0,1000.0,2000-05-22,0.01,1000.0
2000-03-29,CL/M2000/CME/1d,25.87,230.0,1000.0,2000-05-22,0.01,1000.0
2000-03-30,CL/M2000/CME/1d,26.07,26792.0,1000.0,2000-05-22,0.01,1000.0
2000-03-31,CL/M2000/CME/1d,26.38,35207.0,1000.0,2000-05-22,0.01,1000.0
2000-04-03,CL/M2000/CME/1d,25.94,18030.0,1000.0,2000-05-22,0.01,1000.0
2000-04-04,CL/M2000/CME/1d,25.13,32186.0,1000.0,2000-05-22,0.01,1000.0
2000-04-05,CL/M2000/CME/1d,25.31,40720.0,1000.0,2000-05-22,0.01,1000.0
2000-04-06,CL/M2000/CME/1d,25.12,29021.0,1000.0,2000-05-22,0.01,1000.0
2000-04-07,CL/M2000/CME/1d,24.47,42937.0,1000.0,2000-05-22,0.01,1000.0
2000-04-10,CL/M2000/CME/1d,23.23,53963.0,1000.0,2000-05-22,0.01,1000.0
2000-04-11,CL/M2000/CME/1d,23.39,61188.0,1000.0,2000-05-22,0.01,1000.0
2000-04-12,CL/M2000/CME/1d,24.74,55350.0,1000.0,2000-05-22,0.01,1000.0
2000-04-13,CL/M2000/CME/1d,24.62,63591.0,1000.0,2000-05-22,0.01,1000.0
2000-04-14,CL/M2000/CME/1d,24.33,60053.0,1000.0,2000-05-22,0.01,1000.0
2000-04-17,CL/N2000/CME/1d,24.28,10424.0,1000.0,2000-06-20,0.01,1000.0
2000-04-18,CL/N2000/CME/1d,24.4,25575.0,1000.0,2000-06-20,0.01,1000.0
2000-04-19,CL/N2000/CME/1d,25.25,33121.0,1000.0,2000-06-20,0.01,1000.0
2000-04-20,CL/N2000/CME/1d,25.34,13986.0,1000.0,2000-06-20,0.01,1000.0
2000-04-24,CL/N2000/CME/1d,25.55,7974.0,1000.0,2000-06-20,0.01,1000.0
2000-04-25,CL/N2000/CME/1d,25.02,21937.0,1000.0,2000-06-20,0.01,1000.0
2000-04-26,CL/N2000/CME/1d,24.53,39707.0,1000.0,2000-06-20,0.01,1000.0
2000-04-27,CL/N2000/CME/1d,25.21,27433.0,1000.0,2000-06-20,0.01,1000.0
2000-04-28,CL/N2000/CME/1d,25.48,26957.0,1000.0,2000-06-20,0.01,1000.0
2000-05-01,CL/N2000/CME/1d,25.6,14878.0,1000.0,2000-06-20,0.01,1000.0
2000-05-02,CL/N2000/CME/1d,26.46,39220.0,1000.0,2000-06-20,0.01,1000.0
2000-05-03,CL/N2000/CME/1d,26.41,44213.0,1000.0,2000-06-20,0.01,1000.0
2000-05-04,CL/N2000/CME/1d,26.56,36173.0,1000.0,2000-06-20,0.01,1000.0
2000-05-05,CL/N2000/CME/1d,26.92,5836.0,1000.0,2000-06-20,0.01,1000.0
2000-05-08,CL/N2000/CME/1d,27.75,37804.0,1000.0,2000-06-20,0.01,1000.0
2000-05-09,CL/N2000/CME/1d,28.4,57909.0,1000.0,2000-06-20,0.01,1000.0
2000-05-10,CL/N2000/CME/1d,28.05,57359.0,1000.0,2000-06-20,0.01,1000.0
2000-05-11,CL/N2000/CME/1d,28.94,66825.0,1000.0,2000-06-20,0.01,1000.0
2000-05-12,CL/N2000/CME/1d,29.39,53656.0,1000.0,2000-06-20,0.01,1000.0
2000-05-15,CL/N2000/CME/1d,29.73,34697.0,1000.0,2000-06-20,0.01,1000.0
2000-05-16,CL/N2000/CME/1d,29.65,46460.0,1000.0,2000-06-20,0.01,1000.0
2000-05-17,CL/N2000/CME/1d,29.44,60046.0,1000.0,2000-06-20,0.01,1000.0
2000-05-18,CL/Q2000/CME/1d,29.66,23185.0,1000.0,2000-07-20,0.01,1000.0
2000-05-19,CL/Q2000/CME/1d,29.41,16903.0,1000.0,2000-07-20,0.01,1000.0
2000-05-22,CL/Q2000/CME/1d,28.32,21696.0,1000.0,2000-07-20,0.01,1000.0
2000-05-23,CL/Q2000/CME/1d,28.28,18597.0,1000.0,2000-07-20,0.01,1000.0
2000-05-24,CL/Q2000/CME/1d,29.18,27088.0,1000.0,2000-07-20,0.01,1000.0
2000-05-25,CL/Q2000/CME/1d,29.63,22435.0,1000.0,2000-07-20,0.01,1000.0
2000-05-26,CL/Q2000/CME/1d,29.07,19492.0,1000.0,2000-07-20,0.01,1000.0
2000-05-30,CL/Q2000/CME/1d,29.41,23045.0,1000.0,2000-07-20,0.01,1000.0
2000-05-31,CL/Q2000/CME/1d,28.42,47089.0,1000.0,2000-07-20,0.01,1000.0
2000-06-01,CL/Q2000/CME/1d,29.31,40444.0,1000.0,2000-07-20,0.01,1000.0
2000-06-02,CL/Q2000/CME/1d,29.44,28731.0,1000.0,2000-07-20,0.01,1000.0
2000-06-05,CL/Q2000/CME/1d,28.92,31114.0,1000.0,2000-07-20,0.01,1000.0
2000-06-06,CL/Q2000/CME/1d,28.97,26814.0,1000.0,2000-07-20,0.01,1000.0
2000-06-07,CL/Q2000/CME/1d,29.28,46777.0,1000.0,2000-07-20,0.01,1000.0
2000-06-08,CL/Q2000/CME/1d,29.08,48449.0,1000.0,2000-07-20,0.01,1000.0
2000-06-09,CL/Q2000/CME/1d,29.26,39973.0,1000.0,2000-07-20,0.01,1000.0
2000-06-12,CL/Q2000/CME/1d,30.43,52376.0,1000.0,2000-07-20,0.01,1000.0
2000-06-13,CL/Q2000/CME/1d,31.2,82372.0,1000.0,2000-07-20,0.01,1000.0
2000-06-14,CL/Q2000/CME/1d,31.17,60847.0,1000.0,2000-07-20,0.01,1000.0
2000-06-15,CL/Q2000/CME/1d,30.95,65739.0,1000.0,2000-07-20,0.01,1000.0
2000-06-16,CL/U2000/CME/1d,29.02,17981.0,1000.0,2000-08-22,0.01,1000.0
2000-06-19,CL/U2000/CME/1d,28.67,17382.0,1000.0,2000-08-22,0.01,1000.0
2000-06-20,CL/U2000/CME/1d,29.49,18270.0,1000.0,2000-08-22,0.01,1000.0
2000-06-21,CL/U2000/CME/1d,29.9,38182.0,1000.0,2000-08-22,0.01,1000.0
2000-06-22,CL/U2000/CME/1d,30.67,31873.0,1000.0,2000-08-22,0.01,1000.0
2000-06-23,CL/U2000/CME/1d,30.85,29292.0,1000.0,2000-08-22,0.01,1000.0
2000-06-26,CL/U2000/CME/1d,30.41,18775.0,1000.0,2000-08-22,0.01,1000.0
2000-06-27,CL/U2000/CME/1d,30.88,35510.0,1000.0,2000-08-22,0.01,1000.0
2000-06-28,CL/U2000/CME/1d,30.65,27779.0,1000.0,2000-08-22,0.01,1000.0
2000-06-29,CL/U2000/CME/1d,31.25,31611.0,1000.0,2000-08-22,0.01,1000.0
2000-06-30,CL/U2000/CME/1d,31.13,24538.0,1000.0,2000-08-22,0.01,1000.0
2000-07-05,CL/U2000/CME/1d,29.6,35218.0,1000.0,2000-08-22,0.01,1000.0
2000-07-06,CL/U2000/CME/1d,29.04,43169.0,1000.0,2000-08-22,0.01,1000.0
2000-07-07,CL/U2000/CME/1d,29.18,37445.0,1000.0,2000-08-22,0.01,1000.0
2000-07-10,CL/U2000/CME/1d,28.83,46671.0,1000.0,2000-08-22,0.01,1000.0
2000-07-11,CL/U2000/CME/1d,29.06,58937.0,1000.0,2000-08-22,0.01,1000.0
2000-07-12,CL/U2000/CME/1d,29.64,60583.0,1000.0,2000-08-22,0.01,1000.0
2000-07-13,CL/U2000/CME/1d,30.41,85698.0,1000.0,2000-08-22,0.01,1000.0
2000-07-14,CL/U2000/CME/1d,30.43,51419.0,1000.0,2000-08-22,0.01,1000.0
2000-07-17,CL/U2000/CME/1d,29.76,48060.0,1000.0,2000-08-22,0.01,1000.0
2000-07-18,CL/V2000/CME/1d,29.93,19255.0,1000.0,2000-09-20,0.01,1000.0
2000-07-19,CL/V2000/CME/1d,29.76,16890.0,1000.0,2000-09-20,0.01,1000.0
2000-07-20,CL/V2000/CME/1d,29.31,21429.0,1000.0,2000-09-20,0.01,1000.0
2000-07-21,CL/V2000/CME/1d,28.36,25389.0,1000.0,2000-09-20,0.01,1000.0
