date,asset_1_close,asset_2_close,asset_1_nwone_ticker,asset_2_nwone_ticker,asset_2/asset_1,asset_2_return,contract_change,asset_2_price_before_changing,asset_2_return_before_changing,z_score,bet_size,contract_number,dollar_PnL,total_PnL,cummax,drawdown
2000-01-04,25.55,24.84,CL/G2000/CME/1d,CL/H2000/CME/1d,0.972211350293542,0.0,True,27.14,0.09259259259259256,,0.0,0,0.0,0.0,0.0,0.0
2000-01-05,24.91,24.27,CL/G2000/CME/1d,CL/H2000/CME/1d,0.974307507025291,-0.022946859903381633,False,27.14,0.11825298722702926,,0.0,0,-0.0,0.0,0.0,0.0
2000-01-06,24.78,24.2,CL/G2000/CME/1d,CL/H2000/CME/1d,0.976594027441485,-0.002884219200659288,False,27.14,0.12148760330578523,,0.0,0,-0.0,0.0,0.0,0.0
2000-01-07,24.22,23.76,CL/G2000/CME/1d,CL/H2000/CME/1d,0.981007431874484,-0.018181818181818077,False,27.14,0.1422558922558923,,0.0,0,-0.0,0.0,0.0,0.0
2000-01-10,24.67,24.13,CL/G2000/CME/1d,CL/H2000/CME/1d,0.9781110660721523,0.015572390572390571,False,27.14,0.12474098632407804,,0.0,0,0.0,0.0,0.0,0.0
2000-01-11,25.77,25.11,CL/G2000/CME/1d,CL/H2000/CME/1d,0.9743888242142026,0.04061334438458353,False,27.14,0.08084428514536035,,0.0,0,0.0,0.0,0.0,0.0
2000-01-12,26.28,25.66,CL/G2000/CME/1d,CL/H2000/CME/1d,0.9764079147640791,0.021903624054161686,False,27.14,0.05767731878409976,,0.0,0,0.0,0.0,0.0,0.0
2000-01-13,26.69,25.92,CL/G2000/CME/1d,CL/H2000/CME/1d,0.9711502435369053,0.010132501948558081,False,27.14,0.04706790123456783,,0.0,0,0.0,0.0,0.0,0.0
2000-01-14,28.02,27.14,CL/G2000/CME/1d,CL/H2000/CME/1d,0.9685938615274804,0.04706790123456783,False,27.14,0.0,,0.0,0,0.0,0.0,0.0,0.0
2000-01-18,27.8,26.95,CL/H2000/CME/1d,CL/J2000/CME/1d,0.9694244604316546,0.0,True,28.55,0.05936920222634523,,0.0,0,0.0,0.0,0.0,0.0
